id,feedback,score,user_id,product_id,created_at
32,Đánh giá seed tự động cho sản phẩm: Laptop Lenovo ThinkBook 16 G8 IRL 21SH0093VA - Cũ Trầy Xước,3,12,69,2026-03-29 10:43:57
33,Đánh giá seed tự động cho sản phẩm: Laptop MSI Cyborg 14 A13UDX-099VN - Cũ Đẹp,4,14,71,2026-03-29 10:43:57
34,Đánh giá seed tự động cho sản phẩm: Laptop MSI Gaming Katana A15 AI B8VE-402VN - Cũ Trầy Xước,3,20,72,2026-03-29 10:43:57
35,Đánh giá seed tự động cho sản phẩm: Laptop MSI Gaming Thin 15 B12UC-1416VN - Cũ Xước Cấn,3,3,73,2026-03-29 10:43:57
36,Đánh giá seed tự động cho sản phẩm: Laptop MSI Modern 14 B5M 204VN - Cũ Đẹp,3,2,75,2026-03-29 10:43:57
37,Đánh giá seed tự động cho sản phẩm: Laptop MSI Vector 16 HX AI A2XWHG-010VN - Cũ Đẹp,4,14,77,2026-03-29 10:43:57
38,Đánh giá seed tự động cho sản phẩm: Loa Bluetooth tích hợp đèn ngủ GOOJODOQ AB4097,5,9,81,2026-03-29 10:43:57
39,Đánh giá seed tự động cho sản phẩm: Màn hình LG 24U411A-B 24 inch - Đã Kích Hoạt,5,20,86,2026-03-29 10:43:57
40,Đánh giá seed tự động cho sản phẩm: Màn hình MSI Pro MP243L E14 24 inch - Cũ Đẹp,3,16,88,2026-03-29 10:43:57
41,Đánh giá seed tự động cho sản phẩm: Máy ảnh kỹ thuật số Nikon D600 - Cũ trầy xước,3,7,90,2026-03-29 10:43:57
42,Đánh giá seed tự động cho sản phẩm: Máy ảnh kỹ thuật số Nikon D600 VN Full Box - Đã kích hoạt,3,16,91,2026-03-29 10:43:57
43,Đánh giá seed tự động cho sản phẩm: Máy ảnh kỹ thuật số Nikon D600 - Cũ xước cấn,4,1,92,2026-03-29 10:43:57
44,Đánh giá seed tự động cho sản phẩm: Ống kính Canon EF 24-105mm F/4L IS USM - Cũ trầy xước,4,11,95,2026-03-29 10:43:57
45,Đánh giá seed tự động cho sản phẩm: Ống kính Canon EF 24-105mm F/4L IS USM VN Full Box - Đã kích hoạt,3,11,96,2026-03-29 10:43:57
46,Đánh giá seed tự động cho sản phẩm: Ống kính Canon EF 24-105mm F/4L IS USM - Cũ đẹp,3,15,98,2026-03-29 10:43:57
47,Đánh giá seed tự động cho sản phẩm: Samsung Galaxy Watch5 44mm LTE - Cũ Xước Cấn,4,4,100,2026-03-29 10:43:57
48,Đánh giá seed tự động cho sản phẩm: Vòng đeo tay thông minh Huawei Band 11 - Đã Kích Hoạt,5,16,101,2026-03-29 10:43:57
49,Đánh giá seed tự động cho sản phẩm: Apple Watch Series 11 46mm (GPS) Viền Nhôm Dây Cao Su Size M/L - Cũ Trầy Xước,4,10,102,2026-03-29 10:43:57
50,Đánh giá seed tự động cho sản phẩm: Bàn phím cơ không dây AULA F75 Hồng Gradient,4,11,104,2026-03-29 10:43:57
51,Đánh giá seed tự động cho sản phẩm: Bàn phím cơ không dây AULA F99 Hồng Gradient,5,1,105,2026-03-29 10:43:57
52,Đánh giá seed tự động cho sản phẩm: Bàn phím cơ không dây AULA S75 Pro Xám Đen Gradient,4,20,106,2026-03-29 10:43:57
53,Đánh giá seed tự động cho sản phẩm: Bàn phím cơ không dây AULA S98 Pro Hồng Gradient,5,15,107,2026-03-29 10:43:57
54,Đánh giá seed tự động cho sản phẩm: Bàn phím cơ không dây AULA S98 Pro Xám Đen Gradient,5,4,108,2026-03-29 10:43:57
55,Đánh giá seed tự động cho sản phẩm: Samsung Galaxy A07 5G 4GB 128GB - Cũ trầy xước,4,16,110,2026-03-29 10:43:57
56,Đánh giá seed tự động cho sản phẩm: Xiaomi Redmi Note 14 Pro 5G 12GB 512GB - Cũ xước cấn,4,9,112,2026-03-29 10:43:57
57,Đánh giá seed tự động cho sản phẩm: Laptop ASUS Gaming V16 V3607VH-RP025W - Cũ Xước Cấn,4,8,116,2026-03-29 10:43:57
58,Đánh giá seed tự động cho sản phẩm: Laptop Dell Vostro 3520 F0V0V - Cũ Đẹp,4,2,120,2026-03-29 10:43:57
59,Đánh giá seed tự động cho sản phẩm: Laptop HP Pavilion 15-EG0542TU 4P5G9PA - Cũ Xước Cấn,5,4,121,2026-03-29 10:43:57
60,Đánh giá seed tự động cho sản phẩm: Laptop Lenovo IdeaPad Slim 5 14Q8X9 83HL005AVN - Cũ Đẹp,5,11,125,2026-03-29 10:43:57
61,Đánh giá seed tự động cho sản phẩm: Máy ảnh kỹ thuật số Canon EOS R100 - Cũ trầy xước,5,3,130,2026-03-29 10:43:57
62,Đánh giá seed tự động cho sản phẩm: Máy ảnh kỹ thuật số Canon EOS R100 VN Full Box - Đã kích hoạt,3,1,132,2026-03-29 10:43:57
63,Đánh giá seed tự động cho sản phẩm: Máy ảnh kỹ thuật số Nikon D7500 VN Full Box - Đã kích hoạt,4,3,135,2026-03-29 10:43:57
64,Đánh giá seed tự động cho sản phẩm: Máy lạnh Panasonic 2.0HP inverter 2025 (CU/CS-U18BKH-8),3,18,142,2026-03-29 10:43:57
65,Đánh giá seed tự động cho sản phẩm: Máy lạnh Panasonic 2.0HP 2 chiều inverter 2024 (CU/CS-YZ18AKH-8),5,19,143,2026-03-29 10:43:57
66,Đánh giá seed tự động cho sản phẩm: Ống kính Canon RF 50mm f/1.8 STM - Cũ xước cấn,5,11,146,2026-03-29 10:43:57
67,Đánh giá seed tự động cho sản phẩm: Tủ chống ẩm máy ảnh Nikatei NC-20C,5,14,148,2026-03-29 10:43:57
68,Đánh giá seed tự động cho sản phẩm: Bàn phím + bao da iPad Pro 11 (M4/M5) Esr Rebound Magnetic 360 - Cũ,3,7,151,2026-03-29 10:43:57
69,Đánh giá seed tự động cho sản phẩm: Camera IP Wifi 360° hồng ngoại 8MP 4K TP-Link Tapo C250,5,4,152,2026-03-29 10:43:57
70,Đánh giá seed tự động cho sản phẩm: Cổng OTG Innostyle Nexalink USB-A to Wifi AWF6,4,9,157,2026-03-29 10:43:57
71,Đánh giá seed tự động cho sản phẩm: Điện thoại Meizu Mblu 22 3GB 64GB - Cũ đẹp,4,20,159,2026-03-29 10:43:57
72,Đánh giá seed tự động cho sản phẩm: Xiaomi Redmi Note 15 Pro 5G 12GB 256GB - Đã kích hoạt,4,8,161,2026-03-29 10:43:57
73,Đánh giá seed tự động cho sản phẩm: Đồng hồ thông minh Amazfit Active 3 Premium,5,11,162,2026-03-29 10:43:57
74,Đánh giá seed tự động cho sản phẩm: Đồng hồ thông minh Huawei Watch GT Runner 2,5,5,163,2026-03-29 10:43:57
75,Đánh giá seed tự động cho sản phẩm: MacBook Air M5 15 inch 2026 10CPU 10GPU 16GB 512GB Sạc 70W,5,7,167,2026-03-29 10:43:57
76,Đánh giá seed tự động cho sản phẩm: MacBook Pro M5 Max 16 inch 2026 18CPU 40GPU 48GB 2TB Sạc 140W,3,7,171,2026-03-29 10:43:57
77,Đánh giá seed tự động cho sản phẩm: MacBook Pro M5 Pro 16 inch 2026 18CPU 20GPU 48GB 2TB Sạc 140W,5,20,172,2026-03-29 10:43:57
78,Đánh giá seed tự động cho sản phẩm: Màn hình MSI PRO MP275 E14L 27 inch,4,12,175,2026-03-29 10:43:57
79,Đánh giá seed tự động cho sản phẩm: Máy lạnh Panasonic 1.5HP 2025 (CU/CS-N12AKH-8),4,2,179,2026-03-29 10:43:57
80,Đánh giá seed tự động cho sản phẩm: Máy lạnh Panasonic 1.0HP inverter 2023 (CU/CS-U9ZKH-8),4,20,188,2026-03-29 10:43:57
81,Đánh giá seed tự động cho sản phẩm: Máy lạnh Panasonic 1.0HP 2 chiều inverter 2024 (CU/CS-YZ9AKH-8),4,3,190,2026-03-29 10:43:57
82,Đánh giá seed tự động cho sản phẩm: Máy lạnh Panasonic Inverter 2.5HP 2023 (CU/CS-XU24BKH-8),4,2,191,2026-03-29 10:43:57
83,Đánh giá seed tự động cho sản phẩm: Máy lạnh Panasonic Inverter 2.0HP 2023 (CU/CS-XU18BKH-8),4,16,192,2026-03-29 10:43:57
84,Đánh giá seed tự động cho sản phẩm: Máy tính bảng Lenovo Idea Tab Pro Wifi 8GB 256GB ZAE40190VN - Cũ xước cấn,5,6,193,2026-03-29 10:43:57
85,Đánh giá seed tự động cho sản phẩm: Ống kính Canon RF 50mm f/1.8 STM - Cũ trầy xước,4,14,194,2026-03-29 10:43:57
86,Đánh giá seed tự động cho sản phẩm: Ốp lưng iPhone 17 Pro Max Pitaka Edge Happiness Rides In,5,15,198,2026-03-29 10:43:57
87,Đánh giá seed tự động cho sản phẩm: Ốp lưng Samsung Galaxy A17 5G Araree Flexield Clear,5,2,200,2026-03-29 10:43:57
88,Đánh giá seed tự động cho sản phẩm: Thẻ nhớ MicroSD Kodak UHS-I U3/V30/A1 (Adapter) 128GB,4,10,202,2026-03-29 10:43:57
89,Đánh giá seed tự động cho sản phẩm: Thẻ nhớ MicroSD Kodak UHS-I U3/V30/A1 (Adapter) 256GB,3,1,203,2026-03-29 10:43:57
90,Đánh giá seed tự động cho sản phẩm: Thẻ nhớ MicroSD Kodak UHS-I U3/V30/A1 (Adapter) 32GB,4,12,204,2026-03-29 10:43:57
91,Đánh giá seed tự động cho sản phẩm: Bàn phím + Bao da AI Samsung Galaxy Tab S11 Ultra - Cũ,3,10,207,2026-03-29 10:43:57
92,Đánh giá seed tự động cho sản phẩm: Bàn phím + Bao da AI Samsung Galaxy Tab S10 Plus/S9 Plus/S9 FE Plus - Cũ,5,1,208,2026-03-29 10:43:57
93,Đánh giá seed tự động cho sản phẩm: Case máy tính Xigmatek Xigmatek Cloud M DGT Arctic (No Fan) M-ATX trắng,5,10,209,2026-03-29 10:43:57
94,Đánh giá seed tự động cho sản phẩm: Case máy tính Xigmatek Xigmatek Cloud M DGT (No Fan) M-ATX đen,5,16,210,2026-03-29 10:43:57
95,Đánh giá seed tự động cho sản phẩm: CPU Intel Core i3 12100 (Tray),4,8,211,2026-03-29 10:43:57
96,Đánh giá seed tự động cho sản phẩm: CPU Intel Core i7 14700 (Tray),5,4,217,2026-03-29 10:43:57
97,Đánh giá seed tự động cho sản phẩm: HONOR X7d 8GB 128GB - Đã kích hoạt,4,13,218,2026-03-29 10:43:57
98,Đánh giá seed tự động cho sản phẩm: Masstel Izi S8 - Cũ đẹp,5,4,219,2026-03-29 10:43:57
99,Đánh giá seed tự động cho sản phẩm: OPPO A5i 4GB 64GB - Cũ xước cấn,5,15,222,2026-03-29 10:43:57
100,Đánh giá seed tự động cho sản phẩm: OPPO Reno14 5G 12GB 256GB - Cũ trầy xước,4,10,224,2026-03-29 10:43:57
101,Đánh giá seed tự động cho sản phẩm: Gọng kính Rokid Glasses,4,19,227,2026-03-29 10:43:57
102,Đánh giá seed tự động cho sản phẩm: iPhone 17e 256GB,4,2,228,2026-03-29 10:43:57
103,Đánh giá seed tự động cho sản phẩm: Kính thông minh Rokid AI Glasses Style RV203,4,14,229,2026-03-29 10:43:57
104,Đánh giá seed tự động cho sản phẩm: Laptop ASUS TUF Gaming A16 FA608UM‑RV266W,3,5,231,2026-03-29 10:43:57
105,Đánh giá seed tự động cho sản phẩm: Laptop ASUS ZenBook S 14 UX5406AA SU415WS,4,5,232,2026-03-29 10:43:57
106,Đánh giá seed tự động cho sản phẩm: Laptop MSI Stealth 16 AI+ B3WG-008VN,4,2,235,2026-03-29 10:43:57
107,Đánh giá seed tự động cho sản phẩm: Mainboard MSI A520M-A Pro D4 AM4,4,2,236,2026-03-29 10:43:57
108,Đánh giá seed tự động cho sản phẩm: Máy chiếu hiệu Wanbo T2 Ultra - Cũ,5,6,237,2026-03-29 10:43:57
109,Đánh giá seed tự động cho sản phẩm: Máy phun sương tạo ẩm xông tinh dầu FujiHome HM04EUV - Cũ,5,16,240,2026-03-29 10:43:57
110,Đánh giá seed tự động cho sản phẩm: Samsung Galaxy Tab S11 5G 12GB 256GB - Cũ đẹp,5,5,242,2026-03-29 10:43:57
111,Đánh giá seed tự động cho sản phẩm: Xiaomi Pad 7 Pro 8GB 256GB - Cũ xước cấn,5,1,243,2026-03-29 10:43:57
112,Đánh giá seed tự động cho sản phẩm: Ổ cứng di động HDD Adata HV320 1TB,3,3,244,2026-03-29 10:43:57
113,Đánh giá seed tự động cho sản phẩm: Ổ cứng di động HDD Adata HV320 2TB,4,13,245,2026-03-29 10:43:57
114,Đánh giá seed tự động cho sản phẩm: Ốp lưng iPhone 11 Pro Max Likgus PU Clear,5,12,247,2026-03-29 10:43:57
115,Đánh giá seed tự động cho sản phẩm: Ốp lưng iPhone 11 Pro Max Memumi Clear,5,13,248,2026-03-29 10:43:57
116,Đánh giá seed tự động cho sản phẩm: Ốp lưng iPhone 14 Pro Max Memumi With Magsafe Clear,5,4,251,2026-03-29 10:43:57
117,Đánh giá seed tự động cho sản phẩm: Ốp lưng iPhone 15 Likgus PU Clear,4,14,252,2026-03-29 10:43:57
118,Đánh giá seed tự động cho sản phẩm: Ốp lưng iPhone 17 Pro Max Pitaka Edge Monogram Leaping,3,1,254,2026-03-29 10:43:57
119,Đánh giá seed tự động cho sản phẩm: Ốp lưng Samsung Galaxy A57 5G Araree Duple M Clear,4,8,258,2026-03-29 10:43:57
120,Đánh giá seed tự động cho sản phẩm: Ốp lưng Samsung Galaxy A57 5G Araree Duple S,5,9,259,2026-03-29 10:43:57
121,Đánh giá seed tự động cho sản phẩm: Ốp lưng Samsung Galaxy A57 5G Araree Flexield Clear,3,5,260,2026-03-29 10:43:57
122,Đánh giá seed tự động cho sản phẩm: Ốp lưng Samsung Galaxy S26 Ultra UAG Chống Sốc Monarch Pro Kevlar,5,8,265,2026-03-29 10:43:57
123,Đánh giá seed tự động cho sản phẩm: Ốp lưng Samsung Galaxy S26 Ultra UAG Chống Sốc Monarch Pro,5,1,266,2026-03-29 10:43:57
124,Đánh giá seed tự động cho sản phẩm: Robot hút bụi lau nhà Xiaomi Vacuum H50,5,4,273,2026-03-29 10:43:57
125,Đánh giá seed tự động cho sản phẩm: VGA MSI GeForce RTX 5070 12GB VENTUS 2X,5,4,278,2026-03-29 10:43:57
